标题,链接,日期,正文
湖北襄阳：开展2026年春季退役士兵返乡报到工作,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260323_534863.html,2026-03-24,"湖北襄阳：开展2026年春季退役士兵返乡报到工作
近日，湖北省襄阳市开展系列活动迎接2026年度春季退役士兵返乡。
保康县退役军人事务局在县高铁站、高铁换乘中心、县客运站等处，设置醒目的“‘戎’归保康——热烈欢迎退役士兵光荣返乡”展板，为退役士兵佩戴大红花、披“光荣退役”绶带，送上含政策汇编、办事指南的“返乡礼包”，第一时间传达家乡人民的尊崇与敬意。
襄州区退役军人事务局在区退役军人服务中心设置退役军人服务“一件事”办事窗口，将退役报到、社保接续、户籍办理等事项整合为“一窗受理、一站办结”。依托适应性培训和技能培训，联合人社部门在培训班现场举办专场招聘会，搭建起从军营到职场的就业“快车道”，助力老兵在家乡安心就业、舒心创业。
襄城区退役军人事务局在区政务服务大厅设置退役军人服务“一件事”办事窗口，严格执行“一次告知、首问负责”制度，实现高效便捷服务。对于伤残服务对象，区退役军人事务局启动“领导坐班+专人对接”机制，让服务更显温度。"
湖南资兴：退役军人守初心 情系环卫暖人心,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260323_534861.html,2026-03-24,"湖南资兴：退役军人守初心 情系环卫暖人心
近日，退役军人、湖南省退役军人创业创新大赛二等奖获得者欧强组织了一场“爱心暖城·情系环卫”公益活动，分批邀请市区450余名环卫工人来他创办的华兰家·柴火鱼饭店免费享用丰盛的午餐。
“环卫工人春节也不‘打烊’，守护着城市的洁净，让广大市民过了一个祥和的春节。我们邀请他们来店里吃个团圆饭，表达对他们辛勤付出的敬意。”欧强说。
“衷心感谢华兰家·柴火鱼饭店对我们环卫工人的关心，今天我们吃得身体暖，心也暖。”湖南省郴州市资兴市环卫中心的环卫工人雷慧芝开心地说。
春节前，欧强就参与了“挚爱之城 温暖过冬”公益活动，为孤寡老人、残疾朋友和困难家庭儿童送去180桶食用油和100份爱心早餐，用实际行动传递温暖。
2017年3月，欧强退役返乡后在资兴市东江湖景区创办首家华兰家・柴火鱼特色餐饮店，如今已在湘、粤、赣等地发展连锁门店10余家。企业发展壮大的同时，他始终坚守退役军人的初心与担当，积极参与助学帮困、敬老孝亲、志愿服务等公益活动，以实际行动回馈社会、奉献爱心，展现了新时代退役军人的良好风貌。"
河北博野：军地同心植新绿 双拥共建添活力,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260323_534859.html,2026-03-24,"河北博野：军地同心植新绿 双拥共建添活力
近日，河北省保定市博野县退役军人事务局、县人武部组织基干民兵、退役军人志愿者联合开展军地同心义务植树活动，以实际行动为家乡生态建设注入强军动能。
活动现场，鲜红的民兵旗帜与志愿红马甲交相辉映，忙碌的身影形成亮丽风景线，充分展现了退役军人“退役不褪色”的优良作风和军地协作的强大合力。
志愿者们表示，能以植树的方式践行社会责任、彰显军人本色，自己倍感光荣，今后将继续积极参与生态保护等公益事业，在服务地方发展中续写荣光。
此次活动以绿色行动为纽带，密切军民联系，加强军地协同，凝聚了军地双方共建生态家园、共筑国防长城的思想共识。"
广西防城港：军民携手筑绿屏 共绘北仑河口生态新画卷,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260323_534857.html,2026-03-24,"广西防城港：军民携手筑绿屏 共绘北仑河口生态新画卷
春潮涌动，碧波荡漾。3月10日上午，广西壮族自治区防城港市北仑河口国家级红树林自然保护区，军地代表齐聚竹山片区，共同参与“军民共建双拥林·绿动北仑河口”植树活动。防城港市双拥工作领导小组办公室牵头，联合防城港市退役军人事务局、防城港市人力资源和社会保障局、防城港海警局、东兴市退役军人事务局等12家单位，以“植绿护红”为纽带，续写新时代军民鱼水情深的动人篇章。
活动伊始，全体人员在界碑党群服务中心开启了一场别开生面的生态课堂。在红树林宣传橱窗前，讲解员正指着红树林图片介绍：“红树林具有极强的固碳能力，其固碳能力相对陆地森林高出2—10倍，被誉为“蓝碳明星”。红树林仅占全球陆地面积的0.1%，其固碳量却占全球固碳量的5%。”防城港市军休所党员干部胡娟驻足良久，仔细记录着红树林净化海水的数据。展厅内，《红树林保护手册》被争相领取，军地代表们专注的阅读表情皆是对自然的敬畏。
9点半，滩涂上响起铿锵的脚步声。技术人员现场讲解红树林苗种植要求并现场示范：“在淤泥深厚的低潮滩进行适当深植，但淤泥覆盖高度不能超过营养袋上表面5厘米；在土质较硬的高潮滩，以泥土刚好覆盖营养袋为准。”他与海警战士和少先队员率先种下了第一棵树苗。随后，参加活动人员分散在滩涂展开种植，不到1小时，500余株红树林幼苗如绿色绸缎般铺展在潮间带，绵延300百米的“双拥林”雏形初现。
11时许，海风裹挟着咸湿气息掠过林梢。百余名参与者手持鲜红的党旗列阵，一曲《歌唱祖国》骤然响起。“五星红旗迎风飘扬……”歌声与潮汐声共鸣，退役军人合唱团的浑厚和声中，夹杂着孩童清亮的跟唱。防城港市退役军人服务中心主任夏明权站在队列前方，望着随风起伏的“红色海洋”，眼眶微微湿润：“当年守边疆是保家卫国，如今护红树林是为子孙留绿水青山，变的是‘战场’，不变的是初心！”活动尾声，全体人员面向党旗重温入党誓词，誓言声穿透林海，惊起几只白鹭翩跹飞向远方。
此次植树活动创新采用“科普+实践+宣教”模式，不仅为红树林保护区新增生态屏障，更深化了军地协同机制。保护区监测站数据显示，自2019年启动“军民共建双拥林”以来，保护区累计栽种苗木超5000株，带动周边社区开展生态修复项目。阳光下，新栽的红树林在潮水中舒展嫩叶，宛如镶嵌在北部湾畔的翡翠项链。这片承载着军民情谊的绿洲，正见证着“生态连心林”从蓝图变为现实，续写着人与自然和谐共生的时代答卷。（文/宋谋春）"
吉林：举办2026年春季“开学第一课”暨开学典礼,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260323_534855.html,2026-03-24,"吉林：举办2026年春季“开学第一课”暨开学典礼
近日，吉林省军休大学举办2026年春季“开学第一课”暨开学典礼。在“十五五”开局之年，军休干部、共建单位与教职员工近200人参加此次活动，共同开启新学年军休大学的教育工作。
典礼上，吉林省军休大学主要负责人以“赓续长征志·启航‘十五五’”为题进行致辞，详细回顾了办学三年来省军休大学各学员取得的学习成果与精神风貌。致辞讲话紧密结合“十五五”规划和纪念长征胜利90周年，突出学校始终坚持以政治引领为首位，积极回应军休干部多元化学习需求。在核心课程体系优化中，积极向分校倾斜资源，增设表演艺术、中医养生、太极等热门课程，进一步打通学习“最后一公里”，以务实举措守护学员追求新知的“文化长征”，用心用情用力提升服务精度与温度，切实增强军休干部的获得感与归属感。
现场，邀请了全国老兵宣讲团讲师、全国基层理论宣讲先进个人王有志做专题辅导，他以“习近平强军思想与新时代国防和军队现代化”为题，开展“开学第一课”专题辅导。专题辅导从强军思想的实践源头、科学内涵与核心要义到引领国防和军队现代化新篇章三个维度，结合党的十八大以来军队改革创新发展的丰硕成果，系统阐释了“体制一新、结构一新、格局一新、面貌一新”的深刻变革，深入解读习近平强军思想的时代背景与深远意义。
辅导内容既有理论高度，又有实践深度，事例鲜活，现场军休学员全神贯注，会场内多次响起热烈的掌声。大家表示，作为军队发展变革的亲历者和见证者，自己深感振奋、备受鼓舞，虽已离开岗位，但更要永葆政治本色，自觉做党的创新理论的坚定信仰者和忠实实践者，要不断发挥政治优势、经验优势，以强烈使命担当在强军征途上继续发光发热。
春风浩荡启新程，银发丹心再扬帆。下一步，吉林省军休大学将以“十五五”规划为引领，紧扣长征胜利90周年等重要节点，持续深化政治建校的总体要求，拓展服务保障路径，用心用情用力书写新时代军休工作高质量发展新篇章。"
黑龙江：开展“学雷锋纪念日”志愿服务活动,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260323_534853.html,2026-03-24,"黑龙江：开展“学雷锋纪念日”志愿服务活动
近日，黑龙江省退役军人服务中心联合南岗区退役军人服务中心，组织“橄榄绿”退役军人志愿者走进黑龙江省社会康复医院，开展“‘锋’暖银龄·爱满龙江”主题志愿服务活动，深刻把握雷锋精神的时代内涵，引领广大退役军人弘扬“奉献、友爱、互助、进步”的志愿服务精神，为在院60余名老人送去关怀与温暖。
活动紧扣老年群体实际需求，志愿者与专业理发师团队、医护人员分工协作、默契配合，为老人提供理发和健康监测服务。现场笑声不断，勾勒出一幅军民同心、温情满满的温馨画卷。老人纷纷表示：“感谢志愿者，把温暖送到了我们的心坎上。”
此次活动既是弘扬雷锋精神的具体实践，也是深化“橄榄绿”志愿服务品牌建设的生动缩影。省退役军人服务中心将持续完善常态化志愿服务机制，结合重要时间节点和各类群体实际需求，拓展多元化服务内容，以实际行动践行雷锋精神，让“橄榄绿”成为龙江大地传递爱心、服务社会的鲜明底色和实践成果。（文/陶思慧）"
贵州黔东南：打造思政育人“崇军学堂”,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260323_534851.html,2026-03-24,"贵州黔东南：打造思政育人“崇军学堂”
近期，贵州省黔东南苗族侗族自治州紧抓春季退役士兵返乡和中小学开学两个关键节点，开展“迎老兵、进校园”双线并行的“崇军学堂”活动，以“返乡第一课”引导退役军人从“哨位”到“岗位”顺利转身，以“开学第一课”激励青少年从“课堂”到“奉献”厚植情怀，推动退役军人思政引领与作用发挥同频共振。
“返乡第一课”助力老兵角色转换。全州各级充分发挥退役军人思政指导员队伍作用，组织返乡退役士兵开设“崇军学堂”17场次，重点加强国家安全教育、保密教育和法治教育，引导退役军人永葆本色、严守秘密、尊法用法。课堂上，各地组织集中观看退役军人事务部深入基层一线拍摄制作的《担当》——退役军人先进事迹宣传片，以榜样力量激励老兵在新岗位上接续奋斗。其间，组织退役军人参观思政教育基地，并一起宣读退役誓词，铿锵誓言既是对军旅生涯的深情告别，更是对未来人生的庄严承诺。这堂“返乡第一课”，不仅强化了退役军人的身份认同和使命意识，更帮助他们校准了融入社会的“第一视点”，为他们今后在各领域持续发挥作用筑牢思想根基。
“开学第一课”点亮青少年爱国心。春季开学之际，黔东南州老兵宣讲团成员纷纷走进校园，用亲身经历为青少年上好爱国主义教育和国防教育“开学第一课”23场次。老兵结合参战经历、服役故事和奋斗历程，生动诠释军人的忠诚与担当，深入浅出地阐释国防安全的重要性，激励学生们珍惜来之不易的幸福生活，努力学习、增强本领，立志为强国建设贡献力量。各地还结合升旗仪式、主题班会、国防知识竞答等形式，丰富“开学第一课”内涵，让爱国种子在青少年心中扎根发芽。
下一步，黔东南州将持续擦亮“崇军学堂”品牌，推动思政引领从“说教式”向“浸润式”转变，作用发挥从“单点式”向“多元化”拓展，引导广大退役军人在新征程上续写荣光，激励青少年赓续红色血脉、厚植家国情怀。"
山东招远：创新打造“星火·微典型”品牌 探索“身边人服务身边人”思政引领新路径,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260320_534700.html,2026-03-23,"山东招远：创新打造“星火·微典型”品牌 探索“身边人服务身边人”思政引领新路径
近年来，山东省烟台市招远市围绕退役军人思想政治工作，创新实施“星火·微典型”培育工程，通过挖掘培养一批扎根基层、贴近老兵的退役军人先进典型，探索出一条“身边人服务身边人”的思政引领新路径，让退役军人在新时代持续焕发活力。
招远市现有退役军人和其他优抚对象3万余人，如何让这支有着光荣传统的群体在新时代继续发光发热，是摆在退役军人工作者面前的重要课题。实践中，当地发现，最了解退役军人的往往是身边战友，最能打动老兵的也正是那些“兵味十足”的身边人。基于这一认识，招远市从基层一线遴选优秀退役军人，打造“星火·微典型”队伍，并赋予其政策宣讲、矛盾调解、事务代办、信息反馈、沟通联络“五小员”职能，让这些从战友中走出来的“微典型”成为政策落地的“传感器”、思想情绪的“稳压器”和服务保障的“连心桥”。
截至目前，全市累计挖掘培养退役军人“微典型”200余人，建立500余人的人才储备库，其中1人获评全国模范退役军人，4人获评烟台市最美退役军人，30余人获评招远市最美退役军人，14人进入镇街党委班子。这些散落在基层的“星火”，正逐渐汇聚成炬，在基层治理和退役军人服务保障中发挥着越来越重要的作用。
“兵说兵事”，把政策讲到老兵心坎里。针对部分退役军人对政策“听不懂、记不住、用不上”的问题，招远市依托“微典型”组建“戎耀金都宣讲团”和“老兵政策宣讲团”。由玉树抗震救灾英雄闫新明、参战功臣姜丛先等退役军人代表担任宣讲骨干，通过“小马扎+宣讲”“实践+宣讲”等灵活形式，深入机关、企业、学校和社区开展互动式宣讲。宣讲中，宣讲员将政策条文转化为通俗易懂的“兵言兵语”，并将国防教育、国际形势等内容融入身边故事。两年来，宣讲团累计开展宣讲30余场，覆盖群众2000余人次，发放政策“口袋书”和“暖心卡”2000余册，政策知晓率显著提升，实现了从“人找政策”到“政策找人”的转变。
“兵调兵事”，用战友情化解矛盾纠纷。在矛盾调解方面，全国模范退役军人徐学盛牵头成立“学盛工作室”，吸纳律师、法官、公安民警和退役老兵等20余名成员，探索形成“战友情调解法”。调解过程中，先以战友身份沟通交流、拉近距离，再讲政策、释法理，逐步化解矛盾。这一方式有效弥补了行政调解“距离感强、信任度低”的问题。截至目前，“学盛工作室”已成功化解积案30余起、矛盾纠纷120余起。
“兵帮兵事”，把服务送到家门口。针对部分年老体弱或行动不便的退役军人，招远市依托628个镇村服务站、6处“金都老兵驿站”和14支退役军人志愿服务队，组织“微典型”开展事务代办服务，帮助办理医疗报销、优抚申请、困难帮扶等事项，月均服务超500人次。在罗峰街道，“微典型”闫永臻长期结对帮扶伤残老兵老韩，上门照料生活、代办各类事务，让老兵切实感受到“组织就在身边”。这种“老兵帮老兵、老兵护老兵”的互助模式，使服务保障从“柜台后”走到了“家门口”。
“兵听兵事”，让基层声音直达决策层。遍布城乡的“微典型”还成为退役军人事务部门了解基层情况的重要渠道。通过日常走访和交流，他们及时收集退役军人的思想动态和意见建议，两年来累计反馈建议70余条，推动服务细节不断优化。例如，根据老兵反馈，当地及时调整春节慰问信和对联的尺寸规格及发放时间，使慰问更贴合实际需求。这种“从群众中来、到群众中去”的工作机制，让思想政治工作更加接地气、更有温度。
“兵事兵办”，拓展就业创业新空间。在促进就业创业方面，招远市依托退役军人就业创业促进会、“榜样直播间”等平台，由“微典型”牵头对接社会资源，帮助50余名退役军人实现就业创业。当地还组建退役军人就业创业协会，常态化联系拥军企业，培育壮大军创企业16家，提供就业岗位500余个，年产值超过5亿元。同时，招远市新建300余平方米“一站式”综合服务大厅，实现优待抚恤、移交安置等8大类业务“一窗通办”，服务效率较以往提高约20%。
“星火”汇聚成炬，基层治理焕发新活力。两年来，“星火·微典型”工程不断发展壮大，带动退役军人出现“三多三少”的明显变化：正能量多了，怨气牢骚少了；理解支持多了，抵触误解少了；主动参与多了，被动观望少了，就业创业率提升18%。457名退役军人村干部活跃在基层治理一线，越来越多退役军人从社会事务的“旁观者”转变为基层治理的“参与者”和“贡献者”。
从点点星火到汇聚成炬，“星火·微典型”品牌正在招远市基层持续释放能量。当地有关负责人表示，下一步将进一步深化品牌建设，总结推广经验，为新时代退役军人思想政治工作提供更多可复制、可推广的实践样本。"
浙江：精准对接促就业 护航戎归启新航,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260323_534817.html,2026-03-23,"浙江：精准对接促就业 护航戎归启新航
一年春作首，万事干为先。连日来，浙江省退役军人事务系统为广大退役军人提供形式多样的就业岗位推荐、政策咨询等服务，积极为企业和退役军人务工人员牵线搭桥，让求职者在家门口就能实现高质量就业。
日前，余姚市退役军人事务局提前精心部署，贴心服务，以暖心礼遇迎接退役军人荣归故里。“今天是我回地方第一次办理业务，没想到这么顺利，工作人员的态度特别好，为我耐心讲解各项政策。”退役军人张晨阳说。从3月2日开始，市退役军人事务局专门设置退役军人服务“一件事”窗口，为2026年春季返乡退役军人提供集中报到“一站式”服务。服务现场，工作人员为退役军人办理报到登记、信息采集、医保资料和组织关系转接等业务，并向他们发放退役军人创业就业服务指南、余姚崇军联盟使用手册等宣传折页，详细介绍各项优惠政策。目前已接收退役士兵56人。接下来，市退役军人事务局将举办2026年春季退役士兵返乡欢迎仪式暨适应性培训、专场招聘会、职业技能培训等活动，帮助退役军人尽快实现角色转换，融入地方，在新的舞台上继续发光发热。
2月25日至26日，衢州市退役军人事务局在市2026年春季人力资源交流大会现场设立退役军人招聘专区，集中推送适配岗位、提供政策咨询，为退役军人搭建便捷对接通道。3月9日，在四省边际军创园顺利举办2026年衢州市退役军人专场招聘会，进一步聚焦退役军人就业需求，实现岗位供给与求职意向精准匹配。两场活动统筹资源、协同发力，累计吸引35家优质企业参与，提供管理、技术、安保、物业、消防等适配岗位近千个，吸引800余名退役军人及家属到场咨询求职，现场收到投递简历149份。活动现场同步设置就业创业指导、免试专升本政策解读、农商银行“南孔崇军贷”“南孔崇军卡”金融服务等一站式服务窗口，围绕就业扶持、技能培训、军创园入园等内容答疑解惑，让退役军人求职更省心、就业更安心。
近日，义乌市退役军人事务局联合北苑街道退役军人服务站，在北苑商贸区中心广场开展“春暖义乌”新春招聘会活动，为退役军人搭建就业桥梁，助力退役军人实现高质量就业创业。“我想创业，听说有税收优惠？”“创业就业补贴申领有什么条件？”活动现场，不少退役军人就创业税收优惠、就业补贴申领、学历提升、技能培训等问题咨询。工作人员与退役军人志愿者围绕国家及义乌市相关扶持政策，对创业拥军贷款、企业招用退役军人税收减免等热点内容逐一细致解读，手把手指导政策申报流程，确保政策红利直达快享，切实增强退役军人就业创业信心。为进一步拓宽就业渠道，市退役军人事务局主动对接参会企业，宣讲该市吸纳退役军人就业的惠企政策，鼓励企业履行社会责任、提供优质岗位。企业负责人普遍表示，退役军人纪律严明、作风扎实、执行力强，叠加政策支持，录用意愿明显提升，将积极推出适配岗位，促进人岗精准对接。
日前，由杭州市余杭区余杭街道主办的“‘岗’好有我、‘职’等你来”——2025年秋季人力资源暨退役军人专场招聘会在宝林广场圆满落幕。20余家重点企业携600余个岗位到场招贤。多位企业招聘负责人表示，退役军人纪律性强、责任心重、综合素质过硬，是企业发展亟须的中坚力量。现场专门设置特色服务区，提供免费理发、口腔检查、衣物缝补等便民服务，让退役军人在求职同时感受到社会的尊崇与关爱。此外，黄湖镇人民政府举办春季人力资源招聘活动，工作人员结合其服役经历、技能特长和就业意向，精准推荐适配岗位。同时，集中发放涵盖就业创业政策、教育培训、税收优惠等方面的宣传资料，并耐心解答关于优待证使用、社保接续、学历提升等实际问题，帮助退役军人及时掌握利好政策，增强就业创业信心。"
辽宁鞍山：97名自主就业退役士兵入职央企,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260323_534820.html,2026-03-23,"辽宁鞍山：97名自主就业退役士兵入职央企
为深入贯彻落实国家退役军人就业安置政策，切实拓宽退役军人高质量就业渠道，辽宁省鞍山市退役军人事务局联动五矿矿业控股有限公司，以政企协同实效推进退役军人安置就业，双方携手开展专项招聘，历经公告发布、资格审查、考试考核等严谨流程，近日，五矿世纪矿业（鞍山）有限公司录用97名自主就业退役士兵，以精准岗位供给实现退役军人与优质企业的高效匹配。
就业是退役军人最关心、最直接、最现实的民生实事。此次专项招聘中，政企双方紧扣“政府搭台、企业发力、精准匹配”思路，主动挖掘岗位资源、细化对接流程，为退役军人搭建稳定就业平台。五矿矿业及在鞍下属单位积极响应拥军优属号召，开放定向岗位、配套专项培养与完善薪酬福利体系，以央企担当为退役军人职业发展保驾护航；鞍山市退役军人事务局聚焦退役军人核心诉求，统筹协调、靠前服务，推动招聘环节高效落地，让岗位资源精准触达、顺利入职。
政企协同搭平台，精准服务促就业。此次招聘既是拥军优属的务实举措，也是地方服务国防建设、助力企业引才育才的生动实践。下一步，鞍山市退役军人事务局将持续深化政企合作，健全岗位征集、精准对接、跟踪服务长效机制，不断拓宽就业渠道、提升就业质量，切实增强退役军人获得感、幸福感、荣誉感。"
广东广州南沙区：助力老兵迈稳“就业路”,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260320_534698.html,2026-03-23,"广东广州南沙区：助力老兵迈稳“就业路”
近日，广东省广州市南沙区黄阁镇退役军人服务站内暖意融融，26岁的退役军人小蔡将一面印有“拥军助业暖人心 扶志赋能展宏图”的锦旗郑重交到工作人员手中，言语哽咽：“没有你们，真不知怎么熬过那段日子。”这感人的一幕，折射出广州市南沙区退役军人事务系统“有温度、有感情、有担当”的服务底色。
出身军人世家的小蔡于2024年9月退役返乡，面对就业市场的挑战一度陷入迷茫。黄阁镇退役军人服务站获悉后立即启动帮扶，依托与南沙红海人才服务有限公司的政企协作平台，于2025年8月为他匹配到合适岗位。然而，随后企业拖欠工资、未缴社保，更让小蔡遭遇工伤，自行垫付的医药费和被拖欠工资让他的家庭陷入困境。
服务站迅速行动，一方面上门慰问，一方面联动人力资源公司多次与企业沟通协调，宣讲退役军人权益保障政策，最终在2025年11月底，企业向其结清1.17万元欠款。帮扶并未止步，服务站结合小蔡的军人特质与就业意愿，主动对接区退役军人就业扶持政策，为他争取黄阁镇应急消防岗位，并全程提供简历优化、面试辅导、体能训练等支持。2026年1月，小蔡顺利入职，凭借部队锤炼的过硬素质，迅速成长为应急救援一线的骨干。
“从找工作、追欠款到获得新岗位，每一步都离不开他们的倾心付出。”小蔡表示，将在新岗位上坚守初心，守护群众安全。一面锦旗背后，是南沙区退役军人事务系统用心用情服务的缩影。近年来，南沙持续深化政企协作，健全服务体系，聚焦就业创业、权益维护、困难帮扶等需求，通过组建“红棉老兵”志愿服务队、建立法律援助“绿色通道”、精准推送岗位等举措，切实打通服务“最后一公里”。
广州市南沙区退役军人事务局相关负责人表示，退役军人之事无小事，要把每一件小事办实办好，让他们感受到家的温暖。系统上下将持续以责任与担当，为退役军人筑牢保障线，照亮前行之路。"
上海：举办2026年市退役军人（随军家属）创业沙龙活动,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260320_534695.html,2026-03-23,"上海：举办2026年市退役军人（随军家属）创业沙龙活动
春意渐浓，桃韵飘香。近日，“桃韵凝心 芳华创赢”——2026年上海市退役军人（随军家属）创业沙龙活动在上海市龙华烈士陵园成功举办。此次活动由上海市退役军人事务局指导，上海市退役军人服务中心联合上海市龙华烈士陵园（龙华烈士纪念馆、上海市烈士纪念设施保护中心)和上海市妇女儿童指导服务中心（巾帼园）主办，融合红色演讲、创业分享、互动剧场与非遗手作等环节，全面展现女性退役军人及军嫂的芳华力量。
血色芳华·初心演绎，英烈精神照亮前行之路。活动在庄重而深情的氛围中正式启幕。与会嘉宾首先参观龙华英烈文物展，重温峥嵘岁月。随后聆听由讲解员带来的英烈故事讲述。茅丽瑛烈士“信仰坚定、敢于突破、勇于担当”的革命精神，穿越时空，与在场创业者产生深刻共鸣。“她当年在逆境中坚守信仰、无畏前行的精神，与我们今天创业路上所需的那股韧劲何其相似。”一位退役军人动情地说。
她创力量·回响共鸣，芳华故事汇聚创业暖流。在主题分享环节，三位优秀女性退役军人及军属创业者依次登台，讲述自己从军营走向商海的初心故事。与寻常分享会不同，活动特别引入即兴戏剧形式，由演员将分享者的真实经历当场演绎为生动片段。当一位嘉宾讲述两个孩子步行10公里为战士送西瓜的往事，演员的深情还原令在场许多人热泪盈眶。“我的故事被看见、被理解，这种感觉特别温暖。”分享者感慨道。
指尖生慧·灵思共织，非遗手作绽放女性巧思。“桃林共生”环节将创意与交流巧妙融合，非遗手作导师指导参与者制作桃花串珠发簪与胸针。大家一边动手，一边围绕“她经济”等话题展开对话，轻松氛围激发出跨界灵感与合作火花。一位参与者感叹道：“手作让人静下心来，交流反而更深入。”活动尾声，参与者步入桃林区自由洽谈，在春日意蕴中畅谈合作，一张张笑脸被相机定格，成为活动中最温柔的注脚。
本次活动共吸引50余位女性退役军人及随军家属参与，通过红色精神铸魂、创业分享动心、非遗手作润情、深度交流聚力，充分展现新时代“戎花”群体的创新力量与时代风采。市退役军人服务中心将持续关注退役军人的就业创业需求，开展丰富多样的支持服务，为她们搭建更广阔的平台。"
内蒙古五原：开展情暖军营·致敬军属“三八”国际妇女节双拥主题活动,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260320_534691.html,2026-03-23,"内蒙古五原：开展情暖军营·致敬军属“三八”国际妇女节双拥主题活动
阳春三月，巾帼芳华。为庆祝第116个“三八”国际妇女节，深化新时代双拥共建工作，3月6日，内蒙古自治区巴彦淖尔市五原县双拥办、县退役军人事务局联合武警某中队开展“情暖军营·致敬军属”主题活动，邀请现役军人母亲、退役军人母亲及全局女职工走进军营，共叙鱼水深情。
活动在庄严氛围中拉开帷幕。部队介绍了部队建设及官兵训练情况；县双拥办、县退役军人事务局向军属致以节日问候。在军营沉浸式体验环节，军属们观摩队列训练、内务展示，参观营房、荣誉室和训练场。整齐的内务、铿锵的步伐、耀眼的荣誉，让军属们深感自豪，更坚定了支持亲人服役、拥护军队的决心。"
湖北罗田：双胞胎兄弟同年入伍，同步晋升,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260320_534671.html,2026-03-23,"湖北罗田：双胞胎兄弟同年入伍，同步晋升
近日，从战区陆军某旅传来喜讯：来自大别山革命老区湖北省黄冈市罗田县的双胞胎兄弟王隆、王荣，双双通过层层考核，携手晋升二级上士。消息传回家乡，亲友乡邻无不为之自豪。
兄弟俩1999年2月出生于军人家庭，父亲王守权1985年11月至1990年3月入伍。在兄弟俩的童年记忆里，父亲那张泛黄的军装照和饭桌上永远讲不完的军营往事，就像一颗种子，悄悄埋进了他们的心田。
长大后，他们做出了相同的选择——参军去！2017年9月，怀揣着这份深植于血脉的报国志，兄弟俩一同走进军营，开启了属于他们的淬炼之路。
新兵营时，两人被分到同一个班。“不怕吃苦，当个好兵”——这句简单的承诺，成为他们并肩前行的约定。从此，训练场上多了一对“较劲”的身影：单杠上比拼耐力，手磨出血泡也不肯先松手；跑道上较量速度，冲过终点线后相视一笑；靶场里切磋精度，谁打了低环，夜里就加练据枪。
下连后，两人虽分属不同连队——王隆成为合成三营九连战士，王荣则成长为三营装甲突击车连战士，但那份默契从未改变。几年来，他们多次参加上级组织的重大演训任务，先后获评“四有”优秀士兵、先进个人和嘉奖等荣誉。2024年9月、12月，兄弟俩先后面对党旗举起右臂，光荣入党，荣誉墙上再添荣光。
时光流转，服役期满的人生路口摆在面前，走还是留？两人没有商量，却给出了相同的答案——留下！备考的日子里，他们隔着连队互相监督、互相鼓劲，在一次次比拼中打磨理论功底，在一遍遍操练中精进专业技能。最终，选晋考核场上，他们沉稳发挥，双双交出优异答卷，同时晋升二级上士。曾经的懵懂少年，如今已淬炼成军营中的骨干力量。"
